mcp_match_id;mcp_date;mcp_tournament;mcp_round;mcp_surface;mcp_best_of;mcp_players;status;method;candidate_count;candidate_context_ids;context_match_id;context_tournament_date;context_tournament;context_round;context_surface;context_best_of;context_players;context_source_file;date_offset_days;surface_agrees;round_agrees;tournament_agrees;best_of_agrees;review_status;review_notes
20150502-W-ITF_Charlottesville-SF-Elizaveta_Ianchuk-Allie_Kiick;02/05/2015;ITF Charlottesville;SF;Clay;3;Elizaveta Ianchuk | Allie Kiick;matched;exact_pair_date_unique;1;sackmann:wta:qual_itf:2015-W-C50-USA-03A-2015:30;sackmann:wta:qual_itf:2015-W-C50-USA-03A-2015:30;27/04/2015;Charlottesville VA $50K;SF;Clay;3;Allie Kiick | Elizaveta Ianchuk;wta/wta_matches_qual_itf_2015.csv;5;VERDADEIRO;VERDADEIRO;FALSO;VERDADEIRO;confirmed;The name seems differente, but the match seems correct
20231109-W-BJK_Cup_Finals-RR-Magda_Linette-Leylah_Fernandez;09/11/2023;BJK Cup Finals;RR;Hard;3;Magda Linette | Leylah Fernandez;matched;exact_pair_date_unique;1;sackmann:wta:tour:2023-W-FC-2023-FLS:116;sackmann:wta:tour:2023-W-FC-2023-FLS:116;07/11/2023;BJK Cup Finals;RR;Hard;3;Leylah Fernandez | Magda Linette;wta/wta_matches_2023.csv;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;confirmed;
20240829-M-US_Open-R64-Otto_Virtanen-Alex_De_Minaur;29/08/2024;US Open;R64;Hard;5;Otto Virtanen | Alex De Minaur;matched;exact_pair_date_unique;1;sackmann:atp:tour:2024-560:176;sackmann:atp:tour:2024-560:176;26/08/2024;Us Open;R64;Hard;5;Alex De Minaur | Otto Virtanen;atp/atp_matches_2024.csv;3;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;confirmed;
20051118-M-Masters_Cup-RR-Gaston_Gaudio-Fernando_Gonzalez;18/11/2005;Masters Cup;RR;Hard;3;Gaston Gaudio | Fernando Gonzalez;matched;exact_pair_date_unique;1;sackmann:atp:tour:2005-605:14;sackmann:atp:tour:2005-605:14;14/11/2005;Masters Cup;RR;Carpet;3;Gaston Gaudio | Fernando Gonzalez;atp/atp_matches_2005.csv;4;FALSO;VERDADEIRO;VERDADEIRO;VERDADEIRO;confirmed;"Same match; MCP says Hard and context says Carpet."
20240419-W-Stuttgart-QF-Coco_Gauff-Marta_Kostyuk;19/04/2024;Stuttgart;QF;Clay;3;Coco Gauff | Marta Kostyuk;matched;exact_pair_date_unique;1;sackmann:wta:tour:2024-1051:295;sackmann:wta:tour:2024-1051:295;15/04/2024;Stuttgart;QF;Clay;3;Marta Kostyuk | Coco Gauff;wta/wta_matches_2024.csv;4;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;confirmed;
20180508-M-Madrid_Masters-R32-Grigor_Dimitrov-Milos_Raonic;08/05/2018;Madrid Masters;R32;Clay;3;Grigor Dimitrov | Milos Raonic;matched;exact_pair_date_unique;1;sackmann:atp:tour:2018-M021:274;sackmann:atp:tour:2018-M021:274;07/05/2018;Madrid Masters;R32;Clay;3;Milos Raonic | Grigor Dimitrov;atp/atp_matches_2018.csv;1;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;confirmed;
20190205-M-Montpellier-R32-Hubert_Hurkacz-Ernests_Gulbis;05/02/2019;Montpellier;R32;Hard;3;Hubert Hurkacz | Ernests Gulbis;matched;exact_pair_date_unique;1;sackmann:atp:tour:2019-0375:283;sackmann:atp:tour:2019-0375:283;04/02/2019;Montpellier;R32;Hard;3;Ernests Gulbis | Hubert Hurkacz;atp/atp_matches_2019.csv;1;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;confirmed;
20150629-W-Wimbledon-R128-Ana_Ivanovic-Yi_Fan_Xu;29/06/2015;Wimbledon;R128;Grass;3;Ana Ivanovic | Yi Fan Xu;matched;exact_pair_date_unique;1;sackmann:wta:tour:2015-W-SL-GBR-01A-2015:16;sackmann:wta:tour:2015-W-SL-GBR-01A-2015:16;29/06/2015;Wimbledon;R128;Grass;3;Ana Ivanovic | Yi Fan Xu;wta/wta_matches_2015.csv;0;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;confirmed;
20171021-M-Stockholm-SF-Juan_Martin_Del_Potro-Fernando_Verdasco;21/10/2017;Stockholm;SF;Hard;3;Juan Martin Del Potro | Fernando Verdasco;matched;exact_pair_date_unique;1;sackmann:atp:tour:2017-0429:298;sackmann:atp:tour:2017-0429:298;16/10/2017;Stockholm;SF;Hard;3;Juan Martin del Potro | Fernando Verdasco;atp/atp_matches_2017.csv;5;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;confirmed;
20221018-W-Guadalajara-R64-Eugenie_Bouchard-Kayla_Day;18/10/2022;Guadalajara;R64;Hard;3;Eugenie Bouchard | Kayla Day;matched;exact_pair_date_unique;1;sackmann:wta:tour:2022-2075:251;sackmann:wta:tour:2022-2075:251;17/10/2022;Guadalajara 2;R64;Hard;3;Eugenie Bouchard | Kayla Day;wta/wta_matches_2022.csv;1;VERDADEIRO;VERDADEIRO;FALSO;VERDADEIRO;confirmed;The name seems differente, but the match seems correct
